"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group C","associate's degree","free/reduced","none","40","57","55"
"female","group D","some high school","standard","completed","57","76","76"
"female","group A","associate's degree","standard","completed","74","87","86"
"male","group D","some college","standard","none","69","60","57"
"male","group C","high school","free/reduced","none","33","36","27"
"male","group E","some high school","standard","completed","95","94","91"
"female","group C","some college","standard","completed","66","69","77"
"female","group A","some college","free/reduced","none","38","31","31"
"male","group C","associate's degree","standard","completed","64","68","64"
"female","group D","some college","free/reduced","none","68","75","80"
"male","group C","master's degree","standard","completed","66","72","68"
"male","group D","some college","free/reduced","none","40","44","44"
"male","group C","some high school","standard","none","44","51","36"
"female","group C","associate's degree","standard","none","49","52","49"
"female","group B","high school","standard","none","59","61","56"
"male","group D","associate's degree","standard","none","89","88","83"
"female","group D","some college","standard","none","63","69","68"
"female","group B","master's degree","standard","none","58","62","64"
"female","group E","some high school","free/reduced","none","68","78","74"
"male","group D","some college","standard","completed","67","70","62"
"female","group C","some high school","standard","none","69","88","88"
"male","group D","associate's degree","free/reduced","none","59","43","47"
"male","group B","high school","standard","completed","80","74","70"
"male","group B","associate's degree","standard","completed","76","75","68"
"female","group D","some college","free/reduced","none","41","47","50"
"male","group D","some high school","free/reduced","completed","73","74","78"
"male","group D","associate's degree","standard","completed","96","90","94"
"female","group E","bachelor's degree","free/reduced","none","74","88","85"
"male","group E","bachelor's degree","standard","none","85","88","83"
"male","group D","some high school","standard","completed","72","70","63"
"female","group C","some high school","standard","none","65","81","81"
"female","group D","some high school","standard","none","77","79","80"
"male","group E","high school","free/reduced","none","61","50","45"
"female","group D","master's degree","standard","completed","95","95","100"
"female","group D","associate's degree","standard","completed","94","100","100"
"male","group C","high school","standard","completed","72","75","70"
"female","group A","high school","standard","none","51","66","62"
"female","group D","associate's degree","free/reduced","none","41","50","53"
"male","group D","bachelor's degree","standard","completed","81","76","73"
"female","group D","some high school","standard","none","67","67","63"
"female","group B","some college","standard","completed","77","83","88"
"female","group E","some high school","standard","none","71","74","72"
"female","group C","some high school","free/reduced","none","22","39","33"
"female","group A","some high school","standard","completed","63","58","64"
"male","group B","some college","standard","none","69","59","54"
"male","group A","some high school","standard","completed","58","65","63"
"female","group E","associate's degree","free/reduced","completed","72","78","77"
"male","group B","some high school","standard","none","39","35","25"
"male","group C","associate's degree","standard","none","82","76","75"
"male","group E","associate's degree","free/reduced","none","75","74","70"
"male","group B","bachelor's degree","free/reduced","completed","67","70","73"
"male","group D","associate's degree","standard","completed","82","82","80"
"male","group D","associate's degree","standard","none","73","65","65"
"female","group E","some college","standard","completed","92","100","100"
"male","group B","associate's degree","standard","none","47","43","44"
"female","group C","high school","standard","none","68","87","80"
"male","group B","bachelor's degree","standard","none","77","80","78"
"female","group E","some high school","standard","none","66","66","66"
"female","group C","some college","standard","completed","48","64","75"
"female","group B","some college","standard","completed","69","79","75"
"female","group B","some college","standard","completed","67","81","89"
"male","group B","high school","free/reduced","completed","42","42","42"
"female","group B","bachelor's degree","standard","none","74","77","82"
"female","group D","some high school","free/reduced","none","67","72","68"
"female","group B","high school","standard","completed","64","86","77"
"male","group C","bachelor's degree","standard","none","59","60","59"
"female","group A","some high school","standard","none","62","58","62"
"male","group E","associate's degree","free/reduced","none","73","71","64"
"male","group D","associate's degree","free/reduced","none","62","68","63"
"male","group A","bachelor's degree","free/reduced","none","58","57","59"
"male","group A","high school","standard","none","54","48","45"
"female","group C","associate's degree","free/reduced","none","53","63","58"
"female","group C","some college","standard","none","52","64","59"
"male","group C","high school","standard","completed","67","66","61"
"male","group A","some college","free/reduced","none","62","61","57"
"female","group E","associate's degree","free/reduced","none","82","89","89"
"male","group E","some college","standard","none","70","65","60"
"male","group E","master's degree","standard","none","82","71","74"
"female","group E","high school","free/reduced","none","84","93","83"
"male","group C","high school","standard","none","78","63","67"
"male","group D","bachelor's degree","standard","none","78","74","71"
"male","group D","associate's degree","standard","completed","88","84","88"
"male","group B","some high school","free/reduced","completed","57","55","55"
"female","group C","bachelor's degree","free/reduced","completed","81","82","83"
"female","group C","some college","free/reduced","none","68","82","79"
"male","group B","associate's degree","standard","none","28","23","21"
"male","group E","associate's degree","standard","none","86","81","79"
"male","group C","some college","free/reduced","completed","75","75","76"
"male","group C","associate's degree","standard","completed","92","89","90"
"male","group E","associate's degree","standard","none","99","89","88"
"female","group B","some college","free/reduced","completed","86","89","93"
"male","group A","associate's degree","standard","none","70","65","63"
"male","group C","master's degree","free/reduced","none","49","53","49"
"female","group C","associate's degree","standard","none","57","67","70"
"female","group D","some high school","standard","none","52","61","61"
"male","group C","bachelor's degree","free/reduced","none","89","68","75"
"male","group B","bachelor's degree","standard","none","70","65","64"
"male","group C","high school","standard","none","73","70","62"
"male","group B","high school","free/reduced","none","54","57","54"
"male","group C","some college","free/reduced","none","61","59","54"
"female","group B","some high school","free/reduced","none","59","79","72"
"female","group B","high school","standard","completed","59","64","68"
"female","group C","bachelor's degree","standard","completed","63","71","73"
"male","group E","associate's degree","standard","none","59","42","39"
"male","group B","associate's degree","free/reduced","completed","81","81","83"
"male","group E","some college","standard","none","80","66","62"
"male","group C","associate's degree","standard","none","52","46","41"
"female","group C","high school","standard","none","56","60","59"
"male","group E","associate's degree","standard","completed","97","96","93"
"female","group B","high school","free/reduced","none","46","51","57"
"female","group C","associate's degree","standard","none","59","67","66"
"male","group C","some college","free/reduced","none","57","56","53"
"male","group B","high school","standard","completed","83","78","78"
"female","group D","some college","standard","none","84","79","85"
"female","group D","some high school","free/reduced","completed","81","82","92"
"male","group D","associate's degree","free/reduced","completed","72","63","70"
"male","group C","high school","free/reduced","completed","52","65","59"
"male","group C","some college","free/reduced","completed","67","81","78"
"female","group B","some high school","standard","none","79","80","82"
"female","group B","master's degree","standard","completed","77","74","80"
"female","group D","master's degree","free/reduced","none","80","88","88"
"female","group D","high school","free/reduced","none","44","58","54"
"male","group D","high school","standard","completed","81","78","78"
"female","group C","some college","standard","none","78","96","87"
"male","group C","bachelor's degree","standard","completed","89","93","94"
"female","group D","some high school","free/reduced","none","43","49","47"
"male","group B","some high school","standard","completed","74","71","75"
"male","group D","some high school","standard","none","68","68","62"
"female","group C","high school","free/reduced","completed","28","40","40"
"female","group C","some college","standard","none","68","82","78"
"male","group C","associate's degree","standard","none","62","61","59"
"female","group E","high school","free/reduced","none","58","69","64"
"male","group C","some high school","standard","none","57","37","43"
"male","group E","associate's degree","standard","none","91","83","79"
"male","group C","high school","standard","none","82","79","73"
"male","group E","master's degree","standard","none","81","65","64"
"male","group D","associate's degree","free/reduced","none","49","57","59"
"male","group E","some high school","standard","none","70","56","49"
"female","group C","associate's degree","free/reduced","none","49","61","59"
"female","group C","master's degree","standard","completed","94","100","100"
"male","group C","some college","standard","none","76","64","64"
"female","group C","some high school","free/reduced","completed","47","59","62"
"female","group D","some college","free/reduced","none","63","49","60"
"male","group B","some high school","standard","none","75","67","60"
"female","group E","some college","standard","none","63","61","60"
"male","group D","master's degree","standard","completed","89","80","79"
"male","group C","some college","standard","none","74","69","61"
"female","group A","some college","free/reduced","none","54","69","63"
"female","group B","some high school","free/reduced","none","58","67","70"
"male","group A","bachelor's degree","standard","none","54","51","45"
"male","group E","master's degree","standard","none","85","80","79"
"female","group D","some high school","free/reduced","none","42","53","52"
"male","group D","associate's degree","free/reduced","completed","62","64","67"
"male","group B","some college","free/reduced","none","71","72","70"
"female","group C","some high school","standard","completed","80","82","82"
"female","group D","bachelor's degree","standard","none","60","58","65"
"male","group B","high school","standard","none","73","72","67"
"female","group C","some high school","free/reduced","none","68","85","80"
"female","group B","high school","free/reduced","none","49","55","54"
"male","group C","some high school","standard","none","66","74","64"
"male","group E","some high school","standard","none","61","52","54"
"female","group A","some college","free/reduced","none","59","71","72"
"male","group E","bachelor's degree","free/reduced","completed","82","75","74"
"male","group C","bachelor's degree","free/reduced","completed","64","65","64"
"male","group D","associate's degree","standard","none","68","64","58"
"female","group C","some college","free/reduced","none","35","46","42"
"male","group B","some high school","free/reduced","completed","55","65","53"
"male","group E","high school","standard","none","92","79","74"
"male","group D","some college","standard","completed","94","90","90"
"male","group D","some high school","standard","completed","57","61","62"
"male","group C","some college","standard","completed","85","65","76"
"female","group D","high school","free/reduced","none","75","76","85"
"male","group E","some college","standard","completed","100","94","100"
"male","group A","some high school","standard","none","64","65","57"
"male","group C","bachelor's degree","standard","none","82","74","80"
"female","group C","high school","standard","none","81","86","91"
"male","group C","some high school","standard","completed","58","59","56"
"female","group D","high school","standard","none","80","78","84"
"male","group C","master's degree","standard","none","53","42","41"
"male","group D","high school","standard","none","87","77","72"
"male","group B","high school","standard","none","75","70","65"
"male","group D","associate's degree","standard","none","63","51","51"
"female","group D","some high school","standard","completed","71","62","70"
"male","group B","associate's degree","free/reduced","completed","47","62","58"
"female","group A","bachelor's degree","free/reduced","none","54","63","62"
"female","group D","some college","free/reduced","completed","71","82","82"
"male","group E","bachelor's degree","standard","none","70","58","58"
"female","group D","high school","standard","completed","72","83","86"
"female","group C","high school","free/reduced","none","40","57","50"
"male","group B","high school","standard","none","75","64","67"
"male","group C","bachelor's degree","standard","completed","88","84","90"
"male","group E","some high school","standard","none","61","45","42"
"male","group D","some college","standard","none","70","63","63"
"female","group E","bachelor's degree","standard","none","92","90","90"
"female","group D","high school","standard","completed","77","90","91"
"male","group E","some high school","standard","none","79","71","67"
"female","group B","associate's degree","free/reduced","none","70","84","79"
"male","group C","associate's degree","free/reduced","none","59","62","56"
"male","group B","some college","standard","none","56","54","48"
"male","group C","high school","standard","completed","92","96","89"
"female","group D","some high school","free/reduced","none","59","70","66"
"male","group E","some college","standard","none","74","60","61"
"female","group C","some college","standard","none","70","64","64"
"male","group C","high school","standard","completed","74","84","78"
"female","group C","some college","standard","none","69","80","75"
"male","group E","some college","standard","none","84","76","68"
"male","group C","high school","free/reduced","none","41","45","43"
"female","group B","some high school","standard","none","57","72","66"
"female","group C","some high school","free/reduced","none","59","81","72"
"male","group C","some high school","free/reduced","none","36","45","37"
"male","group C","high school","standard","completed","62","68","72"
"female","group D","some college","free/reduced","none","45","58","64"
"female","group D","some high school","standard","completed","62","72","79"
"male","group A","some college","standard","completed","78","82","79"
"female","group D","some college","standard","none","46","58","64"
"male","group B","master's degree","standard","completed","85","76","79"
"male","group D","some college","standard","none","41","34","30"
"male","group C","some high school","standard","none","87","86","77"
"male","group A","bachelor's degree","standard","none","75","79","79"
"male","group A","associate's degree","standard","completed","82","86","84"
"female","group C","some college","standard","none","62","74","68"
"male","group D","high school","standard","none","83","79","77"
"female","group C","some college","free/reduced","completed","61","72","77"
"male","group D","high school","standard","completed","76","76","77"
"female","group B","high school","standard","none","66","75","74"
"male","group C","some college","standard","completed","62","64","65"
"male","group C","high school","standard","none","67","62","58"
"male","group C","high school","standard","none","63","63","61"
"female","group B","some college","standard","none","74","84","76"
"female","group D","associate's degree","standard","completed","74","87","89"
"male","group C","bachelor's degree","standard","completed","73","73","75"
"female","group B","some high school","standard","completed","63","76","69"
"male","group B","some high school","standard","none","60","63","59"
"male","group B","some college","free/reduced","completed","40","59","56"
"female","group C","master's degree","free/reduced","none","42","52","56"
"male","group D","associate's degree","standard","none","83","72","69"
"female","group D","master's degree","standard","completed","80","98","97"
"male","group B","associate's degree","standard","none","63","68","65"
"female","group D","associate's degree","free/reduced","none","51","64","69"
"male","group B","some high school","standard","none","78","67","68"
"male","group D","some high school","standard","completed","59","63","67"
"female","group C","some college","standard","completed","75","89","88"
"male","group D","some college","free/reduced","none","61","51","55"
"female","group B","associate's degree","standard","none","69","73","67"
"female","group D","high school","standard","none","41","55","57"
"female","group E","associate's degree","free/reduced","none","58","65","61"
"female","group C","some college","standard","none","83","95","94"
"male","group D","high school","standard","none","78","75","74"
"male","group C","master's degree","standard","none","77","76","71"
"female","group E","some high school","free/reduced","none","50","59","58"
"female","group C","high school","free/reduced","none","50","62","59"
"female","group C","associate's degree","standard","none","54","59","62"
"male","group B","some college","standard","completed","52","38","45"
"female","group E","associate's degree","free/reduced","none","40","46","46"
"male","group C","some college","standard","completed","95","84","82"
"female","group C","high school","free/reduced","none","46","53","47"
"male","group E","high school","standard","none","80","76","69"
"female","group D","some college","standard","none","50","58","53"
"male","group B","some college","free/reduced","completed","55","52","52"
"female","group B","some college","free/reduced","completed","46","66","70"
"male","group B","some high school","standard","none","78","76","79"
"female","group C","master's degree","standard","none","65","79","76"
"female","group B","bachelor's degree","free/reduced","completed","49","65","63"
"male","group B","some college","free/reduced","completed","40","43","38"
"male","group C","high school","standard","none","72","72","69"
"male","group C","bachelor's degree","standard","none","61","52","51"
"male","group D","high school","standard","completed","85","82","85"
"male","group D","high school","standard","none","59","43","44"
"male","group C","high school","standard","none","67","62","52"
"female","group D","high school","standard","none","62","74","71"
"male","group B","associate's degree","free/reduced","completed","69","65","68"
"female","group D","high school","standard","none","66","69","71"
"male","group C","high school","standard","completed","54","60","54"
"female","group C","associate's degree","standard","none","70","68","73"
"female","group C","associate's degree","free/reduced","completed","60","69","70"
"female","group E","high school","standard","completed","88","96","97"
"male","group D","some high school","standard","none","67","66","61"
"female","group C","some high school","standard","none","43","53","46"
"male","group E","associate's degree","standard","completed","81","78","74"
"female","group E","associate's degree","standard","completed","97","100","100"
"male","group E","some high school","free/reduced","completed","69","57","57"
"male","group B","some college","standard","none","84","67","65"
"male","group C","high school","standard","none","49","49","45"
"female","group A","high school","standard","none","69","72","75"
"male","group D","some high school","standard","none","95","85","83"
"male","group D","high school","standard","none","72","74","63"
"male","group D","some high school","free/reduced","none","68","56","57"
"female","group B","master's degree","standard","completed","68","64","75"
"male","group C","high school","standard","none","65","64","60"
"male","group E","high school","standard","none","100","94","84"
"female","group C","some college","free/reduced","completed","69","89","90"
"female","group C","high school","standard","none","49","62","63"
"male","group C","some college","free/reduced","none","58","63","55"
"male","group D","associate's degree","standard","completed","85","72","71"
"female","group B","high school","standard","completed","79","88","95"
"male","group C","master's degree","standard","completed","90","86","80"
"female","group D","master's degree","free/reduced","completed","46","64","71"
"male","group A","bachelor's degree","standard","none","62","58","56"
"female","group C","some college","standard","completed","80","85","93"
"female","group D","master's degree","free/reduced","none","74","85","84"
"male","group A","master's degree","standard","none","68","68","63"
"female","group C","some high school","standard","completed","60","61","63"
"female","group B","high school","standard","completed","84","85","83"
"female","group C","associate's degree","free/reduced","completed","54","68","75"
"male","group A","high school","standard","none","84","76","69"
"female","group B","high school","standard","completed","69","85","77"
"male","group D","associate's degree","standard","completed","68","74","75"
"male","group D","high school","standard","completed","88","72","76"
"male","group E","some high school","standard","none","87","70","62"
"female","group E","high school","free/reduced","none","67","78","69"
"male","group B","bachelor's degree","free/reduced","none","62","69","62"
"male","group B","bachelor's degree","free/reduced","none","54","66","55"
"male","group B","associate's degree","free/reduced","none","38","36","35"
"female","group C","some college","standard","none","67","77","71"
"female","group A","some high school","standard","none","77","87","85"
"female","group C","some high school","free/reduced","completed","49","57","58"
"female","group C","some college","standard","none","59","74","71"
"male","group D","master's degree","free/reduced","completed","61","47","58"
"female","group D","associate's degree","standard","completed","77","80","90"
"male","group B","some college","free/reduced","completed","42","38","35"
"female","group C","associate's degree","standard","none","74","80","81"
"female","group D","high school","standard","completed","65","76","80"
"male","group C","some college","standard","completed","88","78","78"
"male","group B","some college","standard","none","77","83","76"
"female","group D","bachelor's degree","free/reduced","completed","69","73","77"
"female","group E","associate's degree","standard","completed","80","88","87"
"male","group C","high school","free/reduced","none","29","26","23"
"male","group D","some high school","standard","none","62","59","53"
"male","group C","some college","standard","none","50","37","37"
"male","group C","some high school","standard","none","60","61","56"
"female","group C","high school","standard","completed","79","87","83"
"female","group B","some college","standard","none","75","80","75"
"female","group C","associate's degree","standard","none","68","88","86"
"male","group C","high school","standard","none","72","62","62"
"male","group D","associate's degree","standard","completed","92","89","93"
"male","group A","some high school","standard","completed","72","65","68"
"female","group C","bachelor's degree","standard","completed","71","85","87"
"female","group C","associate's degree","standard","none","58","70","69"
"male","group E","some high school","standard","none","64","48","50"
"male","group D","associate's degree","standard","completed","71","66","71"
"female","group C","bachelor's degree","free/reduced","none","70","80","74"
"female","group B","some high school","standard","completed","71","91","83"
"female","group B","some high school","standard","none","62","73","71"
"male","group E","some college","standard","completed","81","74","74"
"female","group D","some college","standard","completed","87","93","99"
"female","group D","some college","standard","completed","100","92","100"
"male","group C","associate's degree","standard","none","68","72","67"
"male","group C","associate's degree","standard","none","70","71","67"
"female","group C","master's degree","standard","none","86","98","94"
"female","group E","associate's degree","free/reduced","completed","83","90","80"
"female","group B","some college","standard","none","59","64","60"
"female","group C","some college","standard","completed","91","93","95"
"female","group D","associate's degree","standard","none","63","71","72"
"male","group D","some college","standard","none","82","83","75"
"female","group B","high school","free/reduced","none","33","46","43"
"male","group B","some high school","standard","completed","55","61","56"
"male","group D","high school","standard","none","69","61","57"
"male","group E","high school","free/reduced","none","65","65","61"
"female","group C","some high school","standard","none","80","76","74"
"male","group C","some high school","standard","completed","70","62","63"
"male","group E","some college","standard","none","88","65","67"
"female","group E","bachelor's degree","standard","none","70","79","84"
"female","group D","associate's degree","standard","none","71","73","76"
"female","group D","some college","free/reduced","none","67","78","76"
"male","group D","master's degree","free/reduced","completed","75","81","82"
"male","group C","associate's degree","free/reduced","none","51","46","45"
